기간,지역,발생건수,사망자수,부상자수,맑음,흐림,비,안개,눈,기타/불명,교통안전지수,인구밀도,인구,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2018,영등포구,2493,22,3529.5,2201.75,66,142,0,7,6,68.95,16441,403600,42,152,716.5,686.5,650,605,248,177,187
2018,동작구,1412,9,1892,1251,43,105,0,11,2,77.5,25032,409385,21,106,398,374,308,295,121,114,127
2018,관악구,1300,8,1717,1091,37,91,0,5,39.5,79.78,17587,520040,18,95,442,330,247,283,93,84,107
2018,서초구,2478,18,3529.5,2201.75,70,148,1,17,16,75.08,9326,438163,42,108,712,686.5,690.75,595,221,177.5,136
2018,강남구,2506.25,20,3529.5,2201.75,87,191,0,13,39.5,68.95,13859,547453,60,165,716.5,686.5,690.75,664.25,261,177.5,166
2018,송파구,2506.25,27,3529.5,2201.75,151,186,0,9,30,70.32,19883,673507,70,176,716.5,686.5,690.75,664.25,235,177.5,197
2018,강동구,1418,12,1922,1239,67,97,0,10,5,79.29,17564,431920,31,94,298,328,360,375,140,140,123
2019,종로구,1133,6,1559,1052,32,48,0,0,1,79.77,6769,161869,29,49,315,294,285,293,97,87,116
2019,중구,1184,5,1615,1065,49,67,0,1,2,75.09,13704,136488,35,40,310,354,307,324,94,81,75
2019,용산구,1187,10,1614,1071,40,69,0,2,5,79.64,11213,245185,37,41,423,352,274,252,92,91,62
2019,성동구,1091,13,1439,1021,23,45,0,1,1,79.6,18327,308979,70,41,293,290,250,273,67,66,102
2019,광진구,973,3,1316,896,27,49,0,1,0,83.22,21507,366972,58,61,281,268,217,207,93,70,64
2019,동대문구,1565,15,1988,1377,97,83,0,1,7,74.03,25537,363023,57,119,344,308,331,369,146,139,190
2019,중랑구,1620,12,2122,1444,64,86,0,2,24,77.13,21736,402024,91,120,379,340,345,420,137,143,159
